buyDate,sellDate,code,name,mode,returnPct,xcjw,cjs,jsjl,openPctChange,reason,droppedModes,regime,isMainLine,isBigCap,adaptiveActive,adaptiveReason,holdDays,exitKind
2025-06-25,2025-06-27,603209.XSHG,兴通股份,绿断低吸,0.6023316062176098,263.66,55.21,0.0,-5.04,绿断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+2.85% / 10d avg=-0.37% (阈值 -4%/-2%),2,max_dd_stop
2025-06-25,2025-06-27,301678.XSHE,新恒汇,孕线低吸,13.335384615384616,252.97,260.85,0.0,-5.23,强方向 + 孕线 + 低吸分达标,,,False,False,False,"Tier4 dormant: 20 个交易日样本不足 (n5=0/n10=0/n20=0, 需 1/2/3)",2,max_dd_stop
2025-06-25,2025-06-26,300531.XSHE,优博讯,首红断低吸,-2.0000000000000018,221.21,50.01,0.0,-2.71,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+0.86% / 10d avg=+3.57% (阈值 -4%/-2%),1,max_dd_stop
2025-06-26,2025-06-30,600318.XSHG,新力金融,接力低弱转1,-0.8333333333333526,369.59,0.0,70.06,2.02,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=+8.70% / 10d avg=+6.05% (阈值 -6%/-3%),2,max_dd_stop
2025-06-26,2025-06-27,603123.XSHG,翠微股份,接力低弱转1,-2.0000000000000018,260.44,0.0,31.26,1.58,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=+8.70% / 10d avg=+6.05% (阈值 -6%/-3%),1,max_dd_stop
2025-06-26,2025-06-27,300803.XSHE,指南针,接力低弱转2,-2.0000000000000018,214.94,0.0,38.69,2.43,高开弱转强 + 昨日连板 + 竞王达标,,,False,False,False,excluded by --exclude-modes: 接力低弱转2; Tier2 10d 单窗口保守: avg=-6.93%≤-2% n=2 (5d n<1),1,max_dd_stop
2025-07-02,2025-07-03,300414.XSHE,中光防雷,绿断低吸,-2.0000000000000018,124.13,18.32,0.0,-3.16,绿断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+1.75% / 10d avg=+2.48% (阈值 -4%/-2%),1,max_dd_stop
2025-07-02,2025-07-03,300600.XSHE,国瑞科技,首红断低吸,-2.0000000000000018,146.02,26.31,0.0,-3.56,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+4.60% / 10d avg=+2.73% (阈值 -4%/-2%),1,max_dd_stop
2025-07-02,2025-07-04,603212.XSHG,赛伍技术,首红断低吸,11.107309486780714,160.2,2.9,0.0,-0.08,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+4.60% / 10d avg=+2.73% (阈值 -4%/-2%),2,max_dd_stop
2025-07-02,2025-07-04,000026.XSHE,飞亚达,绿断低吸,14.313267813267805,268.69,25.59,0.0,-1.39,绿断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+1.75% / 10d avg=+2.48% (阈值 -4%/-2%),2,max_dd_stop
2025-07-02,2025-07-03,600241.XSHG,时代万恒,绿断低吸,-1.9999999999999907,472.16,484.3,0.0,-7.14,绿断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+1.75% / 10d avg=+2.48% (阈值 -4%/-2%),1,max_dd_stop
