categoryCode,blockCode,parent,date,score,scoreChangePre,scoreChange,dataType,isTrack,isPpp,industryType
,885623.DDBK,000015.BKDL,2024-10-25,35.05,-78.86,-26.29,0,1,0,0.0
,885814.DDBK,000015.BKDL,2024-10-25,0.0,-114.58,0.0,0,1,0,0.0
000004.BKDL,,,2024-10-25,114.27,-47.61,-13.6,1,1,0,
,885521.DDBK,000004.BKDL,2024-10-25,253.62,93.1,-9.63,0,1,0,0.0
,885827.DDBK,000004.BKDL,2024-10-25,142.62,-95.08,31.69,0,1,0,0.0
,885487.DDBK,000004.BKDL,2024-10-25,93.1,-139.65,-0.0,0,1,0,0.0
,885514.DDBK,000004.BKDL,2024-10-25,92.05,-100.43,16.73,0,1,0,0.0
,885734.DDBK,000004.BKDL,2024-10-25,89.38,-148.96,-89.37,0,1,0,0.0
,885744.DDBK,000004.BKDL,2024-10-25,89.22,-27.16,7.76,0,1,0,0.0
,885832.DDBK,000004.BKDL,2024-10-25,88.27,-77.24,5.51,0,1,0,0.0
,885472.DDBK,000004.BKDL,2024-10-25,82.76,-59.11,-59.11,0,1,0,0.0
,885591.DDBK,000004.BKDL,2024-10-25,82.76,-82.75,-82.75,0,1,0,0.0
,885617.DDBK,000004.BKDL,2024-10-25,73.91,-102.34,-39.8,0,1,0,0.0
,885924.DDBK,000004.BKDL,2024-10-25,63.2,-90.27,-4.51,0,1,0,0.0
,885849.DDBK,000004.BKDL,2024-10-25,55.86,-93.1,-37.24,0,1,0,0.0
,885894.DDBK,000004.BKDL,2024-10-25,49.65,-173.79,-99.31,0,1,0,0.0
,885764.DDBK,000004.BKDL,2024-10-25,45.14,-45.14,-112.85,0,1,0,0.0
,885345.DDBK,000004.BKDL,2024-10-25,43.18,-118.73,-21.59,0,1,0,0.0
,885939.DDBK,000004.BKDL,2024-10-25,28.65,-214.84,-42.97,0,1,0,0.0
000033.BKDL,,,2024-10-25,113.69,-25.32,-24.46,1,0,0,
,885786.DDBK,000033.BKDL,2024-10-25,228.25,84.1,-48.05,0,0,0,0.0
,885946.DDBK,000033.BKDL,2024-10-25,184.92,41.1,-5.13,0,0,0,0.0
,886069.DDBK,000033.BKDL,2024-10-25,181.17,120.78,-100.65,0,0,0,0.0
,886008.DDBK,000033.BKDL,2024-10-25,159.0,41.84,25.1,0,0,0,0.0
,885619.DDBK,000033.BKDL,2024-10-25,147.86,5.47,16.42,0,0,0,0.0
,885517.DDBK,000033.BKDL,2024-10-25,136.24,10.38,-6.49,0,0,0,0.0
,886002.DDBK,000033.BKDL,2024-10-25,127.16,-4.54,-9.08,0,0,0,0.0
,886057.DDBK,000033.BKDL,2024-10-25,124.13,0.0,-8.01,0,0,0,0.0
,885941.DDBK,000033.BKDL,2024-10-25,119.54,-16.55,-3.67,0,0,0,0.0
,885930.DDBK,000033.BKDL,2024-10-25,115.86,-0.0,16.55,0,0,0,0.0
,885929.DDBK,000033.BKDL,2024-10-25,109.36,-24.52,-29.23,0,0,0,0.0
,885537.DDBK,000033.BKDL,2024-10-25,91.03,-82.76,-24.83,0,0,0,0.0
,885427.DDBK,000033.BKDL,2024-10-25,86.27,-31.63,-14.38,0,0,0,0.0
000034.BKDL,,,2024-10-25,112.88,-22.15,-18.99,1,0,0,
,886070.DDBK,000034.BKDL,2024-10-25,212.8,-35.47,-70.93,0,0,0,0.0
,886071.DDBK,000034.BKDL,2024-10-25,165.51,41.38,-124.13,0,0,0,0.0
,886068.DDBK,000034.BKDL,2024-10-25,155.17,93.1,62.07,0,0,0,0.0
,886074.DDBK,000034.BKDL,2024-10-25,148.96,42.56,21.28,0,0,0,0.0
,886019.DDBK,000034.BKDL,2024-10-25,109.81,-14.32,-23.87,0,0,0,0.0
,885728.DDBK,000034.BKDL,2024-10-25,106.06,-20.26,-20.26,0,0,0,0.0
,886031.DDBK,000034.BKDL,2024-10-25,92.28,-39.54,-6.59,0,0,0,0.0
,886062.DDBK,000034.BKDL,2024-10-25,85.61,8.56,-17.12,0,0,0,0.0
,886040.DDBK,000034.BKDL,2024-10-25,0.0,-124.13,-82.76,0,0,0,0.0
000012.BKDL,,,2024-10-25,109.15,-53.94,-17.98,1,0,0,
,886046.DDBK,000012.BKDL,2024-10-25,182.93,52.26,-13.07,0,0,0,0.0
,885647.DDBK,000012.BKDL,2024-10-25,171.88,-114.58,57.3,0,0,0,0.0
,885772.DDBK,000012.BKDL,2024-10-25,171.88,57.3,-28.64,0,0,0,0.0
,885816.DDBK,000012.BKDL,2024-10-25,141.51,22.34,-7.45,0,0,0,0.0
,885709.DDBK,000012.BKDL,2024-10-25,140.68,-24.83,-24.83,0,0,0,0.0
,885874.DDBK,000012.BKDL,2024-10-25,137.93,55.17,-82.75,0,0,0,0.0
,885737.DDBK,000012.BKDL,2024-10-25,135.42,-45.14,0.0,0,0,0,0.0
,885820.DDBK,000012.BKDL,2024-10-25,125.18,-31.29,-31.29,0,0,0,0.0
,885779.DDBK,000012.BKDL,2024-10-25,124.13,-18.39,-18.39,0,0,0,0.0
,885603.DDBK,000012.BKDL,2024-10-25,122.43,-10.21,-0.0,0,0,0,0.0
,885797.DDBK,000012.BKDL,2024-10-25,120.28,-9.25,-32.38,0,0,0,0.0
,885950.DDBK,000012.BKDL,2024-10-25,109.15,-6.42,-12.84,0,0,0,0.0
,886014.DDBK,000012.BKDL,2024-10-25,106.4,-0.0,0.0,0,0,0,0.0
,885890.DDBK,000012.BKDL,2024-10-25,104.74,-52.37,-11.64,0,0,0,0.0
,885457.DDBK,000012.BKDL,2024-10-25,102.73,-12.84,12.84,0,0,0,0.0
,885934.DDBK,000012.BKDL,2024-10-25,100.77,-52.57,-30.67,0,0,0,0.0
,885480.DDBK,000012.BKDL,2024-10-25,98.92,-29.09,11.64,0,0,0,0.0
,885586.DDBK,000012.BKDL,2024-10-25,98.37,-70.26,-14.05,0,0,0,0.0
,885497.DDBK,000012.BKDL,2024-10-25,96.73,-67.71,-19.34,0,0,0,0.0
,885615.DDBK,000012.BKDL,2024-10-25,80.09,-104.11,16.02,0,0,0,0.0
,885418.DDBK,000012.BKDL,2024-10-25,74.09,-66.29,-7.8,0,0,0,0.0
,885580.DDBK,000012.BKDL,2024-10-25,64.77,-161.91,0.0,0,0,0,0.0
,885788.DDBK,000012.BKDL,2024-10-25,64.77,-97.14,-8.09,0,0,0,0.0
,885791.DDBK,000012.BKDL,2024-10-25,59.58,-29.8,-0.0,0,0,0,0.0
,885918.DDBK,000012.BKDL,2024-10-25,54.5,-72.66,0.0,0,0,0,0.0
,885701.DDBK,000012.BKDL,2024-10-25,51.37,-38.52,0.0,0,0,0,0.0
,885876.DDBK,000012.BKDL,2024-10-25,41.84,-167.37,-50.21,0,0,0,0.0
,886060.DDBK,000012.BKDL,2024-10-25,32.38,-32.39,-32.39,0,0,0,0.0
,885792.DDBK,000012.BKDL,2024-10-25,0.0,-93.1,0.0,0,0,0,0.0
000007.BKDL,,,2024-10-25,107.92,-61.68,-4.75,1,1,0,
,885984.DDBK,000007.BKDL,2024-10-25,193.65,-14.89,-14.89,0,1,0,0.0
,885915.DDBK,000007.BKDL,2024-10-25,132.55,-119.92,-12.62,0,1,0,0.0
,885750.DDBK,000007.BKDL,2024-10-25,120.78,-140.91,20.13,0,1,0,0.0
,885760.DDBK,000007.BKDL,2024-10-25,120.13,0.0,8.01,0,1,0,0.0
,885478.DDBK,000007.BKDL,2024-10-25,114.23,-54.84,-27.42,0,1,0,0.0
,885758.DDBK,000007.BKDL,2024-10-25,111.72,-37.24,-0.0,0,1,0,0.0
,885991.DDBK,000007.BKDL,2024-10-25,111.72,-16.55,8.28,0,1,0,0.0
,885782.DDBK,000007.BKDL,2024-10-25,76.39,-38.19,0.0,0,1,0,0.0
,885386.DDBK,000007.BKDL,2024-10-25,62.07,-41.37,0.0,0,1,0,0.0
,885978.DDBK,000007.BKDL,2024-10-25,62.07,-62.06,0.0,0,1,0,0.0
,885439.DDBK,000007.BKDL,2024-10-25,41.38,-165.51,0.0,0,1,0,0.0
000035.BKDL,,,2024-10-25,105.56,-26.38,-15.01,1,1,0,
,885928.DDBK,000035.BKDL,2024-10-25,233.83,155.89,-0.0,0,1,0,0.0
,886032.DDBK,000035.BKDL,2024-10-25,223.44,186.2,24.83,0,1,0,0.0
,885781.DDBK,000035.BKDL,2024-10-25,169.27,67.71,33.85,0,1,0,0.0
,885789.DDBK,000035.BKDL,2024-10-25,165.89,71.1,-20.31,0,1,0,0.0
,885798.DDBK,000035.BKDL,2024-10-25,148.96,-297.92,0.0,0,1,0,0.0
,885944.DDBK,000035.BKDL,2024-10-25,148.96,68.75,0.0,0,1,0,0.0
,885710.DDBK,000035.BKDL,2024-10-25,136.55,30.15,1.78,0,1,0,0.0
,885425.DDBK,000035.BKDL,2024-10-25,135.42,-22.57,0.0,0,1,0,0.0
,886011.DDBK,000035.BKDL,2024-10-25,131.44,-0.0,43.82,0,1,0,0.0
