date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-21,980343.ZHBK,115.05,-520.75,-30.28,2,0,0,0
2024-10-21,980378.ZHBK,105.76,-566.05,-25.32,2,1,0,0
2024-10-21,980353.ZHBK,95.76,-457.52,-42.56,2,0,0,0
2024-10-21,980348.ZHBK,95.76,-329.84,-21.28,2,0,0,0
2024-10-21,980473.ZHBK,94.17,-453.73,-34.24,2,1,0,0
2024-10-21,980355.ZHBK,88.93,-355.73,-18.53,2,0,0,0
2024-10-21,980345.ZHBK,80.8,-512.93,-31.62,2,0,0,0
2024-10-21,980338.ZHBK,80.62,-414.63,-11.52,2,1,0,0
2024-10-21,980368.ZHBK,80.09,-416.44,-16.01,2,1,0,0
2024-10-21,980358.ZHBK,69.16,-266.0,-10.64,2,1,0,0
2024-10-21,980374.ZHBK,68.75,-469.8,-28.65,2,0,0,0
2024-10-21,980477.ZHBK,45.14,-631.95,0.0,2,1,0,0
2024-10-21,980360.ZHBK,45.14,-564.24,-15.05,2,1,0,0
2024-10-21,980336.ZHBK,43.56,-418.13,-13.06,2,1,0,0
2024-10-21,980475.ZHBK,42.97,-558.6,-14.32,2,1,0,0
2024-10-21,980750.ZHBK,33.35,-383.52,-5.56,2,1,0,0
2024-10-21,980341.ZHBK,16.93,-502.17,-5.64,2,1,0,0
2024-10-21,980379.ZHBK,0.0,-283.73,0.0,2,1,0,0
2024-10-21,980351.ZHBK,0.0,-609.38,-67.71,2,1,0,0
2024-10-18,980335.ZHBK,77.05,51.37,-8.56,2,1,0,0
2024-10-18,980376.ZHBK,64.98,-179.95,-44.99,2,0,0,0
2024-10-18,980357.ZHBK,62.65,-232.49,-54.29,2,0,0,0
2024-10-18,980366.ZHBK,51.64,-295.93,-33.76,2,0,0,0
2024-10-18,980352.ZHBK,50.78,-50.78,-33.86,2,1,0,0
2024-10-18,980365.ZHBK,45.67,-115.94,-44.5,2,1,0,0
2024-10-18,980753.ZHBK,43.5,-283.66,-45.25,2,0,0,0
2024-10-18,980476.ZHBK,42.56,-37.24,-37.24,2,1,0,0
2024-10-18,980345.ZHBK,35.13,-38.65,-31.62,2,0,0,0
2024-10-18,980372.ZHBK,32.82,-55.55,-45.45,2,1,0,0
2024-10-18,980368.ZHBK,32.03,-40.05,-24.03,2,1,0,0
2024-10-18,980348.ZHBK,31.92,-85.12,-53.2,2,0,0,0
2024-10-18,980338.ZHBK,30.71,-46.07,-11.52,2,1,0,0
2024-10-18,980343.ZHBK,30.28,-66.6,-42.38,2,0,0,0
2024-10-18,980756.ZHBK,29.79,-67.03,-37.24,2,1,0,0
2024-10-18,980374.ZHBK,28.65,-45.83,-40.1,2,0,0,0
