date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-21,980346.ZHBK,372.4,-223.44,8.28,2,1,0,0
2024-10-21,980353.ZHBK,372.4,-180.88,10.64,2,0,0,0
2024-10-21,980756.ZHBK,364.95,-245.79,14.89,2,1,0,0
2024-10-21,980338.ZHBK,364.72,-130.53,0.0,2,1,0,0
2024-10-21,980364.ZHBK,357.73,-297.64,8.39,2,1,0,0
2024-10-21,980476.ZHBK,345.8,-266.0,15.96,2,1,0,0
2024-10-21,980378.ZHBK,341.12,-330.69,-1.49,2,1,0,0
2024-10-21,980335.ZHBK,304.69,-286.01,-8.46,2,1,0,0
2024-10-21,980372.ZHBK,302.97,-378.71,7.57,2,1,0,0
2024-10-21,980371.ZHBK,300.42,-244.1,0.0,2,1,0,0
2024-10-21,980373.ZHBK,283.02,-297.92,11.17,2,1,0,0
2024-10-21,980345.ZHBK,267.0,-326.73,-3.52,2,0,0,0
2024-10-21,980475.ZHBK,257.82,-343.75,-14.32,2,1,0,0
2024-10-21,980352.ZHBK,253.91,-186.2,0.0,2,1,0,0
2024-10-21,980374.ZHBK,252.09,-286.46,0.0,2,0,0,0
2024-10-21,980368.ZHBK,248.27,-248.26,24.03,2,1,0,0
2024-10-21,980339.ZHBK,219.69,-364.36,10.72,2,1,0,0
2024-10-21,980336.ZHBK,213.42,-248.27,0.0,2,1,0,0
2024-10-21,980362.ZHBK,208.29,-293.5,6.31,2,1,0,0
2024-10-21,980477.ZHBK,203.13,-473.96,-45.14,2,1,0,0
2024-10-21,980358.ZHBK,138.32,-196.84,0.0,2,1,0,0
2024-10-21,980360.ZHBK,97.8,-511.58,7.52,2,1,0,0
2024-10-21,980750.ZHBK,83.37,-333.5,0.0,2,1,0,0
2024-10-21,980341.ZHBK,67.71,-451.39,5.64,2,1,0,0
2024-10-21,980379.ZHBK,17.73,-266.0,0.0,2,1,0,0
2024-10-18,980357.ZHBK,707.21,412.07,-2.79,2,0,0,0
2024-10-18,980365.ZHBK,695.62,534.01,3.52,2,1,0,0
2024-10-18,980474.ZHBK,688.76,583.91,3.62,2,1,0,0
2024-10-18,980372.ZHBK,681.68,593.31,-2.53,2,1,0,0
2024-10-18,980363.ZHBK,680.25,471.71,0.0,2,1,0,0
2024-10-18,980477.ZHBK,677.09,541.67,0.0,2,1,0,0
2024-10-18,980378.ZHBK,671.81,598.82,2.98,2,1,0,0
2024-10-18,980366.ZHBK,663.37,315.8,-3.97,2,0,0,0
2024-10-18,980376.ZHBK,659.82,414.89,0.0,2,0,0,0
2024-10-18,980364.ZHBK,655.37,579.91,1.4,2,1,0,0
2024-10-18,980753.ZHBK,647.35,320.19,1.74,2,0,0,0
2024-10-18,980343.ZHBK,635.8,538.92,0.0,2,0,0,0
2024-10-18,980476.ZHBK,611.8,532.0,0.0,2,1,0,0
2024-10-18,980756.ZHBK,610.74,513.92,14.9,2,1,0,0
2024-10-18,980351.ZHBK,609.38,541.67,0.0,2,1,0,0
2024-10-18,980360.ZHBK,609.38,534.15,7.52,2,1,0,0
2024-10-18,980475.ZHBK,601.57,515.63,0.0,2,1,0,0
2024-10-18,980346.ZHBK,595.84,496.53,16.55,2,1,0,0
2024-10-18,980345.ZHBK,593.73,519.95,0.0,2,0,0,0
2024-10-18,980335.ZHBK,590.7,565.02,-17.13,2,1,0,0
2024-10-18,980339.ZHBK,584.05,509.03,0.0,2,1,0,0
2024-10-18,980373.ZHBK,580.94,510.18,-7.45,2,1,0,0
2024-10-18,980353.ZHBK,553.28,393.68,-10.64,2,0,0,0
2024-10-18,980473.ZHBK,547.9,393.8,0.0,2,1,0,0
2024-10-18,980371.ZHBK,544.52,506.97,-6.26,2,1,0,0
2024-10-18,980374.ZHBK,538.55,464.07,5.73,2,0,0,0
2024-10-18,980341.ZHBK,519.1,479.6,0.0,2,1,0,0
2024-10-18,980362.ZHBK,501.79,457.61,-12.63,2,1,0,0
2024-10-18,980368.ZHBK,496.53,424.45,8.01,2,1,0,0
2024-10-18,980338.ZHBK,495.25,418.47,0.0,2,1,0,0
2024-10-18,980336.ZHBK,461.69,396.36,-17.42,2,1,0,0
2024-10-18,980355.ZHBK,444.66,277.91,3.71,2,0,0,0
2024-10-18,980352.ZHBK,440.11,338.55,16.93,2,1,0,0
2024-10-18,980348.ZHBK,425.6,308.56,0.0,2,0,0,0
2024-10-18,980750.ZHBK,416.87,383.52,-27.79,2,1,0,0
2024-10-18,980358.ZHBK,335.16,281.96,-15.96,2,1,0,0
2024-10-18,980379.ZHBK,283.73,283.73,-17.74,2,1,0,0
2024-10-18,980340.ZHBK,248.27,62.07,0.0,2,0,0,0
2024-10-17,980366.ZHBK,347.57,111.22,-3.98,2,0,0,0
2024-10-17,980753.ZHBK,327.16,73.09,-1.74,2,0,0,0
2024-10-17,980357.ZHBK,295.14,176.81,-6.96,2,0,0,0
2024-10-17,980376.ZHBK,244.93,44.98,-5.0,2,0,0,0
2024-10-17,980363.ZHBK,208.54,79.44,-4.97,2,1,0,0
2024-10-17,980340.ZHBK,186.2,-124.13,0.0,2,0,0,0
2024-10-17,980355.ZHBK,166.75,-159.33,-7.41,2,0,0,0
2024-10-17,980365.ZHBK,161.61,-18.73,-1.17,2,1,0,0
2024-10-17,980353.ZHBK,159.6,-74.48,-10.64,2,0,0,0
2024-10-17,980473.ZHBK,154.1,-17.12,-17.12,2,1,0,0
2024-10-17,980477.ZHBK,135.42,67.71,0.0,2,1,0,0
2024-10-17,980348.ZHBK,117.04,-234.08,0.0,2,0,0,0
2024-10-17,980474.ZHBK,104.85,-1.81,-5.42,2,1,0,0
2024-10-17,980352.ZHBK,101.56,-135.42,0.0,2,1,0,0
2024-10-17,980346.ZHBK,99.31,-49.65,16.55,2,1,0,0
2024-10-17,980343.ZHBK,96.88,-193.77,-6.06,2,0,0,0
2024-10-17,980756.ZHBK,96.82,-52.14,14.89,2,1,0,0
2024-10-17,980372.ZHBK,88.37,-27.77,-2.52,2,1,0,0
2024-10-17,980475.ZHBK,85.94,-42.97,14.32,2,1,0,0
2024-10-17,980476.ZHBK,79.8,-138.32,0.0,2,1,0,0
2024-10-17,980338.ZHBK,76.78,-337.85,-3.84,2,1,0,0
2024-10-17,980364.ZHBK,75.46,-118.77,1.4,2,1,0,0
2024-10-17,980360.ZHBK,75.23,-60.19,0.0,2,1,0,0
